Game Date,Location,Player 1,Side,Faction,ID,Archtype or Deckname,,Player 2,Side,Faction,ID,Archtype or Deckname,,Winner,Winner Tomthord (S/K/M),Player 1 Score,Player 2 Score,Winning Side,,Notes,Was it fun,What Could I of done better?,Why did a loose,,
13/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,TheCaptin,Corp,NBN,Near-Earth Hub: Broadcast Center,Combi Kill,,TheCaptin,K,0,0,Corp,,I dont think I should of lost. I had a window start of the corps turn to get out new angles and beth to stop tags. Ha ho,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-K
13/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.1),,wetterling,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Frinds and Batty Jank,,wetterling,S,6,8,Corp,,So close but I made some bad diccsions and math. Also sometimes trashing a programe is better then tag and 1 brain damge last click,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.1)-FALSE-S
14/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Zoe,Corp,Jinteki,Nisei Division: The Next Generation,Servant Psi,,Tom,S,7,3,Runner,,,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-S
14/01/2017,Home,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Zoe,Corp,Jinteki,Nisei Division: The Next Generation,Servant Psi,,Tom,S,7,1,Runner,,,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-S
14/01/2017,Home,Tom,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Sandvich,,Zoe,Runner,Shaper,"Ele ""Smoke"" Scovak: Cynosure of the Net",,,Tom,S,8,4,Corp,,,,,,,Haas-Bioroid: Engineering the Future-Sandvich-Tom-S
14/01/2017,Jinteki,Tom,Corp,Jinteki,Pālanā Foods: Sustainable Growth,"From One, An Army",,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Magnus Opus,,Tom,S,8,0,Corp,,,,,,,"Pālanā Foods: Sustainable Growth-From One, An Army-Tom-S"
14/01/2017,Jinteki,Tom,Corp,Wayland,Gagarin Deep Space: Expanding the Horizon,SIBRB Prison (v7.1),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Magnus Opus,,Tom,K,0,2,Corp,,Fun but feeel bad playing prison,,,,,Gagarin Deep Space: Expanding the Horizon-SIBRB Prison (v7.1)-Tom-K
14/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Greg,Corp,NBN,NBN: Controlling the Tomssage,Worlds 2016,,Tom,S,8,5,Runner,,"Proper Netrunner, back and forth",,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-S
14/01/2017,Jinteki,Tom,Corp,Wayland,Blue Sun: Powering the Future,Silver Sun (1.5),,Greg,Runner,Anarch,MaxX: Maximum Punk Rock,Magnus and Eater + Keyhole,,Tom,S,7,2,Corp,,"36cr vamp, Fun game",,,,,Blue Sun: Powering the Future-Silver Sun (1.5)-Tom-S
15/01/2017,Jinteki,Tom,Runner,Shaper,Exile: Streethawk,Fatal Exile (v0.4),,Greg,Corp,Jinteki,Pālanā Foods: Sustainable Growth,palaba,,Tom,S,7,1,Runner,,,,,,,Exile: Streethawk-Fatal Exile (v0.4)-Tom-S
15/01/2017,Jinteki,Tom,Runner,Shaper,Hayley Kaplan: Universal Scholar,Temi Fork (v0.2),,Greg,Corp,Haas-Bioroid,Haas-Bioroid: Architects of Tomorrow,,,Tom,S,7,1,Runner,,,,,,,Hayley Kaplan: Universal Scholar-Temi Fork (v0.2)-Tom-S
15/01/2017,Brewhouse & Kitchen,Tom,Runner,Criminal,Andromeda: Dispossessed Ristie,Takeshi's Castle 2.0,,Dan H,Corp,Haas-Bioroid,The Foundry: Refining the Process,,,Tom,S,8,5,Runner,,Need to think what ICE might be out. Run early,,,,,Andromeda: Dispossessed Ristie-Takeshi's Castle 2.0-Tom-S
15/01/2017,Brewhouse & Kitchen,Tom,Corp,Haas-Bioroid,Haas-Bioroid: Engineering the Future,Sandvich,,Dan H,Runner,Criminal,Leela Patel: Trained Pragmatist,No Breakers Blackmail,,Dan H,S,6,8,Runner,,HB struggles with Blackmail. Emergancy  Shit down herts,,,,,Haas-Bioroid: Engineering the Future-Sandvich-FALSE-S
